N,P,K,plant,temp,humidity,ph,rainfall
50.0,150.0,150.0,Seledri,14.149999999999999,97.5,6.25,61.90246235721704
50.0,150.0,150.0,Seledri,16.950000000000003,99.0,6.4,61.90246235721704
50.0,150.0,150.0,Seledri,19.7,98.25,6.4,61.90246235721704
100.0,150.0,150.0,Terong,25.25,92.5,6.25,104.16666666666667
145.0,250.0,240.0,Terong,25.25,92.5,6.25,104.16666666666667
120.0,40.0,180.0,Terong,23.5,87.5,6.5,104.16666666666667
100.0,40.0,180.0,Terong,23.5,87.5,6.9,104.16666666666667
150.0,37.7,187.5,Terong,22.5,87.91666666666666,5.76,104.16666666666667
200.0,37.7,187.5,Terong,23.5,87.91666666666666,6.15,104.16666666666667
135.83333333333334,92.56666666666666,187.5,Terong,25.5,75.0,6.15,104.16666666666667
135.83333333333334,92.56666666666666,187.5,Terong,25.25,92.5,6.5,104.16666666666667
75.0,200.0,200.0,Bawang Putih,0.85,67.5,6.5,70.83333333333333
125.0,150.0,150.0,Bawang Putih,15.5,67.5,6.25,70.83333333333333
50.0,135.41666666666666,157.91666666666666,Bawang Putih,18.35,72.5,6.0,70.83333333333333
80.0,80.0,80.0,Pakcoy,25.8,84.945,6.25,63.0
100.0,100.0,100.0,Pakcoy,29.5,72.5,5.25,158.75
37.5,37.5,37.5,Pakcoy,27.94,84.945,3.91,5.88
75.0,150.0,150.0,Pakcoy,15.55,97.5,6.25,54.830000000000005
110.0,110.0,110.0,Pakcoy,27.5,84.9725,5.5,54.830000000000005
80.5,95.5,95.5,Pakcoy,21.0,84.9725,6.75,54.830000000000005
80.5,95.5,95.5,Pakcoy,18.3,84.9725,7.0,54.830000000000005
75.0,200.0,200.0,Bawang Merah,19.75,97.5,6.25,78.01008967203184
225.0,277.5,150.0,Bawang Merah,25.0,97.5,5.25,78.01008967203184
300.0,370.0,200.0,Bawang Merah,25.0,97.5,5.25,78.01008967203184
150.0,185.0,100.0,Bawang Merah,27.0,97.5,6.0,78.01008967203184
75.0,92.5,50.0,Bawang Merah,25.0,97.5,5.25,78.01008967203184
165.0,225.0,140.0,Bawang Merah,30.0,97.5,6.5,78.01008967203184
80.0,60.0,40.0,Kangkung,28.074625329697295,79.7173241675475,6.498739079003741,115.50518380491604
80.0,60.0,40.0,Kangkung,28.10973379502448,80.2435146507315,6.4704432179399305,115.46739176910678
80.0,60.0,40.0,Kangkung,28.168189246701132,80.53705686820024,6.476511866297033,116.35455412472417
80.0,60.0,40.0,Kangkung,27.735468852652787,79.29210007383311,6.456855166279,114.56233060411341
80.0,60.0,40.0,Kangkung,28.267366535688282,80.14022238395333,6.498372990946018,116.17062601992485
80.0,60.0,40.0,Kangkung,28.086964583809472,79.38685297511321,6.475787224532038,116.723950048204
80.0,60.0,40.0,Kangkung,27.931297993446087,79.87081556364018,6.484692060038784,116.49579837270328
80.0,60.0,40.0,Kangkung,27.74647371676572,80.04570808552657,6.511296193628288,117.13892763519361
80.0,60.0,40.0,Kangkung,28.13021163878659,79.71181096930053,6.479531563913642,117.882014021967
80.0,60.0,40.0,Kangkung,27.77802163916154,79.75095839514643,6.499099947074525,113.32012234290706
90.0,50.0,50.0,Kangkung,27.24588687559624,70.13747182776692,6.029420948024951,93.38186217075827
90.0,50.0,50.0,Kangkung,27.67391966463412,69.91564425724624,5.986727458460625,90.58161676344201
90.0,50.0,50.0,Kangkung,27.46927408763171,70.19179807044657,6.003702852540009,92.2348246593674
90.0,50.0,50.0,Kangkung,27.466276431582784,69.63402020153153,6.018874885279889,91.34430361419174
90.0,50.0,50.0,Kangkung,27.7239197907082,69.47523462550825,5.9671933807227635,90.80241827487605
90.0,50.0,50.0,Kangkung,27.495702669658904,70.11366100264411,5.991384206048602,92.88956238495973
90.0,50.0,50.0,Kangkung,27.289932375627323,70.12550969258727,6.023683372457018,91.72455571778823
90.0,50.0,50.0,Kangkung,27.233711145819736,70.1803585322417,5.9936453824789435,93.16339658411216
90.0,50.0,50.0,Kangkung,27.19256311392703,69.55699714461804,5.984301944642215,91.73696753943427
90.0,50.0,50.0,Kangkung,27.672474169836185,70.36071479988497,6.020686169412971,91.32892898355881
100.0,40.0,30.0,Kangkung,25.1006501457558,84.78798261742075,7.015694113780075,147.67906361213176
100.0,40.0,30.0,Kangkung,25.10185057620624,85.60899893322204,6.993085760779184,146.97564416962828
100.0,40.0,30.0,Kangkung,24.766154539633458,85.09072807963281,7.01123952191331,146.71937029937598
100.0,40.0,30.0,Kangkung,24.83491536685909,85.044084176472,7.003206855363963,143.9962845474445
100.0,40.0,30.0,Kangkung,25.055857223910238,84.82703068742443,6.953188422802374,145.99645458071552
100.0,40.0,30.0,Kangkung,24.751331540202216,85.414030292062,7.006608389687242,145.78589319964433
100.0,40.0,30.0,Kangkung,25.00916297899699,85.07706175316443,7.003159948466383,146.29396351237253
100.0,40.0,30.0,Kangkung,25.2986937118826,85.24986225689081,7.018384921324968,145.8101632379452
100.0,40.0,30.0,Kangkung,25.185817837099343,85.38123545716712,6.96778973443373,146.3354856091609
100.0,40.0,30.0,Kangkung,25.092063447415036,85.06707498560573,6.994479215331684,144.948730768243
80.0,60.0,60.0,Kangkung,17.593930110604138,80.40505885103988,6.49373597861595,153.44865027400488
80.0,60.0,60.0,Kangkung,17.385922104306303,79.40050296249683,6.52911504714475,155.0962661382772
80.0,60.0,60.0,Kangkung,17.520292121047692,79.62875187407984,6.473613243942552,153.6962557126311
80.0,60.0,60.0,Kangkung,17.315149976782713,80.21127795456204,6.545022493340321,155.0823724323581
80.0,60.0,60.0,Kangkung,17.50675247878022,79.50852497624953,6.512391128041807,152.3194044495073
80.0,60.0,60.0,Kangkung,17.86724044767564,79.81978357950055,6.501672249702479,154.40657837664855
80.0,60.0,60.0,Kangkung,17.301644946048746,80.13606206151232,6.489178417990216,153.82902309885796
80.0,60.0,60.0,Kangkung,17.498830731998595,80.22477760510702,6.488673874870706,155.00239014599242
80.0,60.0,60.0,Kangkung,17.196410314182113,79.74999454930261,6.528289438605492,154.53673751455065
80.0,60.0,60.0,Kangkung,17.747949890849306,80.57030733311854,6.476178334507024,154.1301758222672
80.0,30.0,45.0,Kangkung,28.09441049743934,89.75501874398574,6.505093846015788,80.75329586886501
80.0,30.0,45.0,Kangkung,27.85050867899541,89.95380595241328,6.522423971806122,83.12541572175212
80.0,30.0,45.0,Kangkung,28.06117186194779,89.84622513703206,6.482290054435771,86.79771790252539
80.0,30.0,45.0,Kangkung,27.903820834084115,90.2769810460388,6.488286241305703,81.63249021744535
80.0,30.0,45.0,Kangkung,27.738138371382817,89.43128704125257,6.505358750255095,83.31504533312518
80.0,30.0,45.0,Kangkung,27.97184741013728,89.66980291398235,6.527469302747707,83.44595698059179
80.0,30.0,45.0,Kangkung,28.13707977238424,89.62825518470524,6.495052673060286,85.86549742892502
80.0,30.0,45.0,Kangkung,28.082796662928956,90.03406062332613,6.53527859080252,83.458053131812
80.0,30.0,45.0,Kangkung,27.708290790918767,89.16144522173741,6.480512994740371,86.16174617890908
80.0,30.0,45.0,Kangkung,27.97826146000463,90.10852867143907,6.472706455101957,81.95249306713329
95.0,40.0,55.0,Kangkung,27.11076006750709,93.48925048030071,6.027162523299969,104.35307522931231
95.0,40.0,55.0,Kangkung,27.574790827998807,93.54356635553697,5.996614805782657,103.00998117669458
95.0,40.0,55.0,Kangkung,27.537254269181066,93.18824763693985,6.015570531276223,104.78498559738419
95.0,40.0,55.0,Kangkung,27.56140091260799,93.34452956727927,5.938424580370491,103.75854987713724
95.0,40.0,55.0,Kangkung,27.865575677969122,93.01552954742837,5.999337992673742,103.50118177709517
95.0,40.0,55.0,Kangkung,27.644395628389546,92.90063863932956,5.975969753487278,106.3839976468808
95.0,40.0,55.0,Kangkung,27.377618903836122,92.3144523471832,5.9929614864764496,104.47718075060156
95.0,40.0,55.0,Kangkung,27.35512548745049,93.72245246394463,5.9930507795464845,103.91052388950261
95.0,40.0,55.0,Kangkung,27.107073889459123,92.55384217070682,6.018886882863461,103.60881158328259
95.0,40.0,55.0,Kangkung,27.31806206250115,92.42776746167475,6.004770258805726,108.1706766926931
70.0,25.0,40.0,Kangkung,24.72418121327712,84.7423503878449,6.709455724737502,76.83997430495761
70.0,25.0,40.0,Kangkung,24.951553169852502,85.71834174493037,6.671942424645162,77.04468928905247
70.0,25.0,40.0,Kangkung,25.063935995874694,85.36577877421726,6.732439835246391,76.746773826401
70.0,25.0,40.0,Kangkung,24.70076393676509,85.424070956966,6.651128964078712,74.63168233697608
70.0,25.0,40.0,Kangkung,25.149623516736384,85.28176861984383,6.681353451579817,74.08963597975571
70.0,25.0,40.0,Kangkung,24.70188530375414,84.18842972969644,6.692173966908335,77.98101991769632
70.0,25.0,40.0,Kangkung,24.93767508724619,85.51208168374063,6.697745092123123,74.98576025328931
70.0,25.0,40.0,Kangkung,24.851316962425805,84.79196342100418,6.717221331858506,73.66262491042689
70.0,25.0,40.0,Kangkung,24.974879429734585,85.509828200494,6.721259945561913,76.20097938705638
70.0,25.0,40.0,Kangkung,25.036523692620637,84.35150355484961,6.716945903109961,75.25583783587285
80.0,48.0,40.0,Kangkung,23.29717378644871,82.48086970459596,6.463278527393726,240.44689133502885
80.0,48.0,40.0,Kangkung,23.629001251648155,82.34867102401105,6.430255858424399,239.29004970753678
80.0,48.0,40.0,Kangkung,23.664095388640003,82.25883819945116,6.496651027783915,255.0472199335513
80.0,48.0,40.0,Kangkung,23.59128203781568,82.33128408810583,6.443212081408061,239.58907298266138
80.0,48.0,40.0,Kangkung,23.326683574348053,82.30228511371794,6.4489233137678585,237.58617607781224
80.0,48.0,40.0,Kangkung,23.474767407943876,83.31579230528907,6.433898677108052,272.20966069327903
80.0,48.0,40.0,Kangkung,23.300088303241896,83.09730926802607,6.435577302247899,234.7871702013532
80.0,48.0,40.0,Kangkung,23.463350949308776,82.82664587161482,6.457291688323988,255.86290596710705
80.0,48.0,40.0,Kangkung,23.51998835330991,82.57242124853077,6.45520097692952,241.52480057766593
80.0,48.0,40.0,Kangkung,23.474888855223956,82.5209251315835,6.459453122750071,250.19742976267048
40.0,10.0,60.0,Kangkung,20.663592633118533,72.22535605457915,5.971163019605352,98.55091464549959
40.0,10.0,60.0,Kangkung,20.51020661075311,72.70053228559868,6.016117491672692,100.09779947302411
40.0,10.0,60.0,Kangkung,20.61908820551131,72.70760942312738,5.996191566387328,98.25867205793757
40.0,10.0,60.0,Kangkung,20.903326812725247,72.08070533276793,5.965796205944,100.49812860584063
40.0,10.0,60.0,Kangkung,20.93709925845947,72.5926900097639,6.001589290902125,100.31189407873042
40.0,10.0,60.0,Kangkung,20.931685739195824,72.59996071532191,5.995750617230214,99.22305789235277
40.0,10.0,60.0,Kangkung,21.16279179127317,72.77315707828457,5.981983854757852,100.83071496921248
40.0,10.0,60.0,Kangkung,20.521487365653712,72.519597855435,6.029560878284098,97.19474832405216
40.0,10.0,60.0,Kangkung,21.006695820701268,72.67845141813558,6.046856436926092,98.75563949966083
40.0,10.0,60.0,Kangkung,21.127569421864415,72.10171851234884,5.96988467594252,97.4573147838085
60.0,30.0,30.0,Bayam,24.892944810029096,69.41169386380327,6.534580782399735,70.37536336401593
60.0,30.0,30.0,Bayam,24.848674246607832,69.79001016671054,6.531592167190109,71.07460664095228
60.0,30.0,30.0,Bayam,24.941709132575305,69.77862504982235,6.467248187390204,72.82189756240295
60.0,30.0,30.0,Bayam,25.231586400985123,70.12522716915456,6.484628458135491,73.61912643773792
60.0,30.0,30.0,Bayam,25.197839241651074,69.44944350417936,6.470948743269988,72.54066989712852
60.0,30.0,30.0,Bayam,25.092851408572773,70.15765438335822,6.515873006880356,69.19003769808488
60.0,30.0,30.0,Bayam,25.173483102797412,70.83874934046128,6.513790975376009,68.91328489517575
60.0,30.0,30.0,Bayam,24.752251325625792,69.81078382816793,6.533340737447861,68.58882826054474
60.0,30.0,30.0,Bayam,24.653560198459875,70.62500191486791,6.504059836579666,71.35735783230841
60.0,30.0,30.0,Bayam,24.913379754764534,69.87851591798817,6.514762401695332,68.74247083577716
80.0,40.0,40.0,Bayam,27.05705647902645,80.3680798246514,6.022767377434604,95.89865399878585
80.0,40.0,40.0,Bayam,26.83863837443676,80.36920156928362,5.997972173624399,96.61779823820486
80.0,40.0,40.0,Bayam,27.27233872044903,80.01318056694225,5.992821963802077,98.38583814741514
80.0,40.0,40.0,Bayam,26.949194567381845,79.25004696171577,6.009439229771447,99.41412169849787
80.0,40.0,40.0,Bayam,26.99812049874413,79.69832019957072,5.997539957788323,95.6798694112825
80.0,40.0,40.0,Bayam,27.01762254049259,80.03545204527788,5.99847351041058,96.30582227418056
80.0,40.0,40.0,Bayam,26.961998106478468,79.87581016860935,5.995370154327723,97.0727716227596
80.0,40.0,40.0,Bayam,26.965221901276074,79.54639570031446,6.005464221666127,97.40930652428028
80.0,40.0,40.0,Bayam,26.821669667124194,80.18205175144814,5.959313282550021,96.96455616609376
80.0,40.0,40.0,Bayam,26.914459260467147,80.68692840286595,5.99731498432374,95.18979459735824
100.0,50.0,60.0,Bayam,29.894572689717776,60.47512414369652,6.983871178573467,123.68421644651623
100.0,50.0,60.0,Bayam,29.80255528959843,60.203435056544485,7.007191715081136,124.53134993156475
100.0,50.0,60.0,Bayam,29.860527346753116,59.78457916612358,7.009976057103419,126.10182179380422
100.0,50.0,60.0,Bayam,29.88149157886957,59.17124003009732,7.00198118751946,126.11523810837843
100.0,50.0,60.0,Bayam,29.9436678133848,59.70410726105404,6.992830745916663,121.69140414751102
100.0,50.0,60.0,Bayam,30.190209070210578,60.88340237906405,7.009667671521775,124.75225753263749
100.0,50.0,60.0,Bayam,30.216279717535855,60.40423283755268,6.980459006279834,125.84279088685282
100.0,50.0,60.0,Bayam,29.760483074902446,60.10968969261104,7.02502630602024,124.87043020283524
100.0,50.0,60.0,Bayam,30.229385664526152,60.557602756033276,7.011892781944153,121.27066198622724
100.0,50.0,60.0,Bayam,30.13488769908188,60.54171655756855,6.994606678017815,123.82553337577178
120.0,60.0,60.0,Bayam,25.655812177236307,70.13358662598635,6.47242524126816,146.65569545221777
120.0,60.0,60.0,Bayam,25.621521592508973,70.18823742353673,6.471822765392776,144.46715276208246
120.0,60.0,60.0,Bayam,25.528149181414687,70.17946741232535,6.480336283487553,143.65471098931303
120.0,60.0,60.0,Bayam,25.77477195394886,69.65315142340361,6.4761852556446105,143.9756200075074
120.0,60.0,60.0,Bayam,25.32119059459861,70.13630303227394,6.453529494587077,144.03062464645714
120.0,60.0,60.0,Bayam,25.579235018104917,69.5308433389162,6.467256830345154,145.35619172561613
120.0,60.0,60.0,Bayam,25.480511283888827,68.57860268997008,6.505496090932979,144.41539803614884
120.0,60.0,60.0,Bayam,25.90006149878326,70.39424853558101,6.472042624948283,145.3069311839914
120.0,60.0,60.0,Bayam,25.308888161646536,70.21804621108562,6.51133693829372,146.55209992369356
120.0,60.0,60.0,Bayam,24.920173192178765,70.29800265497074,6.509755264580443,147.3114875666404
85.0,35.0,50.0,Bayam,27.29196078129187,90.3924284302017,6.328405275467837,95.52120889999871
85.0,35.0,50.0,Bayam,27.26981262288978,90.47832591652734,6.329826423165141,91.68486575916474
85.0,35.0,50.0,Bayam,27.78621979939712,89.83439632656967,6.31140300911444,92.09644877847147
85.0,35.0,50.0,Bayam,27.500851823271447,89.7198418070569,6.341580593947281,90.28458347697597
85.0,35.0,50.0,Bayam,27.331223923735433,89.93640136044117,6.282368406952791,91.81295486956634
85.0,35.0,50.0,Bayam,27.534489629945167,90.77567388590722,6.319112559848721,92.3167739586034
85.0,35.0,50.0,Bayam,27.588203180330733,90.53484401857504,6.259889291970995,92.51640787602553
85.0,35.0,50.0,Bayam,27.574347863032884,89.68399576219872,6.285046848396746,93.28100118382126
85.0,35.0,50.0,Bayam,27.688218060436917,89.27117391031123,6.322980002717177,92.24194143266477
85.0,35.0,50.0,Bayam,27.865220632229587,89.33185928271791,6.306892997779627,91.90025259237909
100.0,45.0,60.0,Bayam,28.57346498245566,94.48558064697926,6.466547254615191,111.14557364476384
100.0,45.0,60.0,Bayam,28.28090821318261,96.23819258343887,6.489253855006735,113.04439731100508
100.0,45.0,60.0,Bayam,28.505246742953823,94.35701463863688,6.539930809575976,113.74342789095776
100.0,45.0,60.0,Bayam,28.68426141075775,94.76208595525864,6.510543615507636,109.34607076470446
100.0,45.0,60.0,Bayam,28.47308956882039,94.98022034987878,6.455702854804079,109.3900123113472
100.0,45.0,60.0,Bayam,28.484500855757364,95.28085918273331,6.477339957567789,116.34662929790265
100.0,45.0,60.0,Bayam,28.497930585221518,94.98995834329769,6.507533889432302,111.78500347654365
100.0,45.0,60.0,Bayam,28.33645185410078,94.85661157048702,6.536446208908512,112.87258854891213
100.0,45.0,60.0,Bayam,28.230420013477055,94.87799758675223,6.5167290849822495,115.60838430270321
100.0,45.0,60.0,Bayam,28.54767750794872,95.44391580328946,6.510705420158459,113.65759998874216
75.0,30.0,45.0,Bayam,26.02626590416216,86.43544091443225,6.01040973766796,82.91767635759915
75.0,30.0,45.0,Bayam,26.328042217971774,87.38439056954198,6.012552121960223,79.84578163336361
75.0,30.0,45.0,Bayam,25.80014589275794,86.57059367776363,6.0052875026570725,84.84624433471204
75.0,30.0,45.0,Bayam,26.140228056706473,86.90998154898291,6.018023787346902,83.0109889815274
75.0,30.0,45.0,Bayam,25.710590004049834,86.96063655037369,6.002620267444367,81.35018374663004
75.0,30.0,45.0,Bayam,26.05607103272463,86.48434854810773,6.027686276642296,84.44473503555109
75.0,30.0,45.0,Bayam,25.966858361978332,87.10995289924858,5.989826101755083,84.9299252675205
75.0,30.0,45.0,Bayam,26.104053964031316,86.76049416611508,6.0079775102146,86.56605420322433
75.0,30.0,45.0,Bayam,25.909408714081856,87.50516508993223,6.002608418855867,85.47249941377846
75.0,30.0,45.0,Bayam,25.906043227353415,87.12911461876327,6.001775896299371,83.6823708331807
120.0,40.0,126.0,Bayam,15.207478426298504,89.42730520968638,6.2004406039715345,24.00573788939408
120.0,40.0,126.0,Bayam,15.984034840162083,90.30245293080627,6.2310821382623836,23.262451724324748
120.0,40.0,126.0,Bayam,15.688821807398575,90.18147593101556,6.232644499178626,43.15235257961217
120.0,40.0,126.0,Bayam,15.789692558629554,91.00594690177877,6.220828181846516,53.032371657764116
120.0,40.0,126.0,Bayam,15.559667248416265,89.86165604656301,6.274792129516387,43.21065140957691
120.0,40.0,126.0,Bayam,15.796168183359809,89.90857568016621,6.217842392032271,32.76659492393634
120.0,40.0,126.0,Bayam,15.529361699434542,90.15475146933758,6.2968938240628685,57.378637683251974
120.0,40.0,126.0,Bayam,15.476649234583945,89.73825662221739,6.253716550499496,66.10823858239635
120.0,40.0,126.0,Bayam,15.265405606161814,89.8405752866272,6.28746429280979,28.02427749091942
120.0,40.0,126.0,Bayam,15.175765058099785,89.62614740396903,6.223894715182439,12.786206543949202
21.0,47.0,20.0,Bayam,28.28655389266576,85.52926853395793,6.67778685041058,52.05668048632008
21.0,47.0,20.0,Bayam,28.59042280198151,85.27225711742054,6.700949823946549,32.25426196945817
21.0,47.0,20.0,Bayam,28.264384722414746,84.44713902526077,6.691816357952694,15.343556208494316
21.0,47.0,20.0,Bayam,28.772827461251644,85.54427811332573,6.7036864958675135,29.573885238671473
21.0,47.0,20.0,Bayam,28.709342460440133,84.65452116411015,6.73512342294241,23.97985104316914
21.0,47.0,20.0,Bayam,28.87776325955457,85.42805145637406,6.716897336129152,38.30038042632507
21.0,47.0,20.0,Bayam,28.48253600101701,84.46288530940112,6.671883095911943,60.44787942593399
21.0,47.0,20.0,Bayam,28.615780601310405,85.31018569197607,6.661667617703582,51.042674253184245
21.0,47.0,20.0,Bayam,28.23043202645696,84.91471610754368,6.69939146653234,55.44465610238531
